"","model","inference","replicate","height","ntaxa","r_mse","N_mse","N_true_sum","true positive","true negative","false negative","false positive","false positive rate","true positive rate","false negative rate","true negative rate","prop_error_geomean_lambda","prop_error_mean_lambda","prop_error_geomean_mu","prop_error_mean_mu","arithmetic_error_netdiv","criterion"
"34",1,"true_all",12,25,7,3.49514168731031e-05,0.0816714812495882,1,0,11,1,0,0,0,1,1,1.08966834682674,1.09541486205032,1.08966834682674,1.09541486205032,0.00366146381373942,"N_over_half"
"35",1,"true_all",12,25,7,3.49514168731031e-05,0.0816714812495882,1,0,11,1,0,0,0,1,1,1.08966834682674,1.09541486205032,1.08966834682674,1.09541486205032,0.00366146381373942,"bayes_factor_10"
"36",1,"true_all",12,25,7,3.49514168731031e-05,0.0816714812495882,1,0,11,1,0,0,0,1,1,1.08966834682674,1.09541486205032,1.08966834682674,1.09541486205032,0.00366146381373942,"N_half_and_bayes_factor"
"37",1,"true_all",13,25,5,5.59182526771779e-05,6.73342317198836e-05,0,0,8,0,0,0,NA,NA,1,1.18694618915573,1.18694620017683,1.18694618915573,1.18694620017683,0.00747784800707318,"N_over_half"
"38",1,"true_all",13,25,5,5.59182526771779e-05,6.73342317198836e-05,0,0,8,0,0,0,NA,NA,1,1.18694618915573,1.18694620017683,1.18694618915573,1.18694620017683,0.00747784800707318,"bayes_factor_10"
"39",1,"true_all",13,25,5,5.59182526771779e-05,6.73342317198836e-05,0,0,8,0,0,0,NA,NA,1,1.18694618915573,1.18694620017683,1.18694618915573,1.18694620017683,0.00747784800707318,"N_half_and_bayes_factor"
"40",1,"true_all",14,25,5,3.37031422074336e-05,8.95756715593329e-05,0,0,8,0,0,0,NA,NA,1,1.14513584843934,1.14513586757386,1.14513584843934,1.14513586757386,0.00580543470295439,"N_over_half"
"41",1,"true_all",14,25,5,3.37031422074336e-05,8.95756715593329e-05,0,0,8,0,0,0,NA,NA,1,1.14513584843934,1.14513586757386,1.14513584843934,1.14513586757386,0.00580543470295439,"bayes_factor_10"
"42",1,"true_all",14,25,5,3.37031422074336e-05,8.95756715593329e-05,0,0,8,0,0,0,NA,NA,1,1.14513584843934,1.14513586757386,1.14513584843934,1.14513586757386,0.00580543470295439,"N_half_and_bayes_factor"
"43",1,"true_all",15,25,13,9.14018790377166e-05,0.0416722837461699,1,0,23,1,0,0,0,1,1,1.21880518522973,1.22214163713803,1.21880518522973,1.22214163713803,0.00875488627269272,"N_over_half"
"44",1,"true_all",15,25,13,9.14018790377166e-05,0.0416722837461699,1,0,23,1,0,0,0,1,1,1.21880518522973,1.22214163713803,1.21880518522973,1.22214163713803,0.00875488627269272,"bayes_factor_10"
"45",1,"true_all",15,25,13,9.14018790377166e-05,0.0416722837461699,1,0,23,1,0,0,0,1,1,1.21880518522973,1.22214163713803,1.21880518522973,1.22214163713803,0.00875488627269272,"N_half_and_bayes_factor"
"46",1,"true_all",16,25,5,8.37926681653416e-05,9.16293011911006e-05,0,0,8,0,0,0,NA,NA,1,1.2288434445985,1.22884382064445,1.2288434445985,1.22884382064445,0.00915375282577791,"N_over_half"
"47",1,"true_all",16,25,5,8.37926681653416e-05,9.16293011911006e-05,0,0,8,0,0,0,NA,NA,1,1.2288434445985,1.22884382064445,1.2288434445985,1.22884382064445,0.00915375282577791,"bayes_factor_10"
